Alias;Канонический key;Название города в UI;canonical_city_id;region;region_id;country;Район
Архангельск / ski runners;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Архангельская область;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Ахангельская область;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Вельск;Velsk;Вельск;79;Архангельская Область;0;Россия;
Г. каргополь (каргопольский район);Kargopol;Каргополь;226;Архангельская Область;0;Россия;
Котлас архангельской области;Kotlas;Котлас;278;Архангельская Область;0;Россия;
Няндома;Nyandoma;Няндома;418;Архангельская Область;0;Россия;
Онега;Onega;Онега;430;Архангельская Область;0;Россия;
Брянск;Bryansk;Брянск;69;Брянская Область;0;Россия;
Александров;Aleksandrov;Александров;18;Владимирская Область;0;Россия;
Гусь-хрустальный;Gus Khrustalnyy;Гусь-Хрустальный;140;Владимирская Область;0;Россия;
Карабаново;Karabanovo;Карабаново;223;Владимирская Область;0;Россия;
Vologda;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Белозерск;Belozersk;Белозерск;44;Вологодская Область;0;Россия;Белозерский
Волгда;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вологла;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Волоода;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вуологда;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вытегра;Vytegra;Вытегра;122;Вологодская Область;0;Россия;Вытегорский
Красавино;Krasavino;Красавино;280;Вологодская Область;0;Россия;Великоустюгский
Нововоронеж;Novovoronezh;Нововоронеж;404;Воронежская Область;0;Россия;
Ангарск;Angarsk;Ангарск;23;Иркутская область;0;Россия;
Иркутск;Irkutsk;Иркутск;208;Иркутская область;0;Россия;
Калининград;Kaliningrad;Калининград;215;Калининградская область;0;Россия;
Светлогорск;Svetlogorsk;Светлогорск;520;Калининградская область;0;Россия;
Белоусово;Belousovo;Белоусово;48;Калужская Область;0;Россия;
Калужская обл., г.таруса;Tarusa;Таруса;578;Калужская Область;0;Россия;
Киров;Kirov;Киров;237;Калужская Область;0;Россия;
Обнинск;Obninsk;Обнинск;419;Калужская Область;0;Россия;
Обнинск флго;Obninsk;Обнинск;419;Калужская Область;0;Россия;
Петрозаводск;Petrozavodsk;Петрозаводск;461;Карелия Республика;0;Россия;
Vyktil;Vuktyl;Вуктыл;113;Коми Республика;99;Россия;
Сосногорск;Sosnogorsk;Сосногорск;557;Коми Республика;0;Россия;
Ухта;Ukhta;Ухта;620;Коми Республика;0;Россия;
Буй, костромская обл.;Buy;Буй;72;Костромская Область;0;Россия;
Волгореченск;Volgorechensk;Волгореченск;96;Костромская Область;0;Россия;
Кострома;Kostroma;Кострома;275;Костромская Область;0;Россия;
Костромская обл. г.мантурово;Manturovo;Мантурово;340;Костромская Область;0;Россия;
Шарья;Sharya;Шарья;663;Костромская Область;0;Россия;
Шарья костромская область;Sharya;Шарья;663;Костромская Область;0;Россия;
Железногорск;Zheleznogorsk;Железногорск;171;Красноярский Край;0;Россия;
Всеволожск;Vsevolozhsk;Всеволожск;112;Ленинградская Область;0;Россия;
Гатчина;Gatchina;Гатчина;131;Ленинградская Область;0;Россия;
Ленинградская область город  сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Ленинградская облсть город сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Лодейное поле;Lodeynoe pole;Лодейное поле;327;Ленинградская Область;0;Россия;
Сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Тихвин;Tikhvin;Тихвин;581;Ленинградская Область;0;Россия;
Инсар;Insar;Инсар;204;Мордовия Республика;0;Россия;
Саранск;Saransk;Саранск;516;Мордовия Республика;0;Россия;
Балашиха, мкр. заря;Balashikha;Балашиха;36;Московская Область;0;Россия;
Долгопрудный;Dolgoprudnyy;Долгопрудный;153;Московская Область;0;Россия;
Дубна;Dubna;Дубна;157;Московская Область;0;Россия;
Коломна;Kolomna;Коломна;257;Московская Область;0;Россия;
Красноармейск;Krasnoarmeysk;Красноармейск;281;Московская Область;0;Россия;
Краснозаводск;Krasnozavodsk;Краснозаводск;286;Московская Область;0;Россия;
Люберцы;Lyubertsy;Люберцы;332;Московская Область;0;Россия;
Мытищи;Mytischi;Мытищи;373;Московская Область;0;Россия;
Протвино;Protvino;Протвино;485;Московская Область;0;Россия;
Раменское;Ramenskoe;Раменское;492;Московская Область;0;Россия;
Солнечногорск;Solnechnogorsk;Солнечногорск;551;Московская Область;0;Россия;
Фрязино;Fryazino;Фрязино;626;Московская Область;0;Россия;
Химки новогорск;Khimki;Химки;636;Московская Область;0;Россия;
Черноголовка;Chernogolovka;Черноголовка;653;Московская Область;0;Россия;
Чехов;Chekhov;Чехов;654;Московская Область;0;Россия;
Г.оленегорск-2;Olenegorsk;Оленегорск;427;Мурманская Область;0;Россия;
Мончегорск;Monchegorsk;Мончегорск;363;Мурманская Область;0;Россия;
Мурманск;Murmansk;Мурманск;369;Мурманская Область;0;Россия;
Арзамас;Arzamas;Арзамас;30;Нижегородская Область;0;Россия;
Ворсма;Vorsma;Ворсма;108;Нижегородская Область;0;Россия;
Выкса;Vyksa;Выкса;116;Нижегородская Область;0;Россия;
Заволжье;Zavolzhe;Заволжье;179;Нижегородская Область;0;Россия;
Кстово;Kstovo;Кстово;297;Нижегородская Область;0;Россия;
В. Новгород;Velikiy Novgorod;Великий Новгород;77;Новгородская Область;99;Россия;
Новосибирск;Novosibirsk;Новосибирск;411;Новосибирская Область;0;Россия;
Пенза;Penza;Пенза;446;Пензенская Область;0;Россия;
.пермь;Perm;Пермь;453;Пермский край;#Н/Д;Россия;
Г.александровск пермский край;Aleksandrovsk;Александровск;20;Пермский край;0;Россия;
Красновишерск;Krasnovishersk;Красновишерск;283;Пермский Край;0;Россия;
Пермский край г.александровск;Aleksandrovsk;Александровск;20;Пермский Край;0;Россия;
Пермский край г.кизел;Kizel;Кизел;229;Пермский Край;0;Россия;
Пермь;Perm;Пермь;453;Пермский Край;0;Россия;
Каменск-шахтинский;Kamensk-shakhtinskiy;Каменск-шахтинский;218;Ростовская Область;0;Россия;
Ростов-на-дону;Rostov-na-donu;Ростов-на-дону;501;Ростовская Область;0;Россия;
Рязань;Ryazan;Рязань;509;Рязанская Область;0;Россия;
Сасово рязанская область;Sasovo;Сасово;519;Рязанская Область;0;Россия;
Самара;Samara;Самара;513;Самарская Область;0;Россия;
Тольяти;Tolyatti;Тольятти;585;Самарская Область;0;Россия;
Тольятти;Tolyatti;Тольятти;585;Самарская Область;0;Россия;
Саратов;Saratov;Саратов;517;Саратовская Область;0;Россия;
Оха;Okha;Оха;435;Сахалинская Область;0;Россия;
Екатеринбург;Ekaterinburg;Екатеринбург;164;Свердловская Область;0;Россия;
Смоленск;Smolensk;Смоленск;544;Смоленская Область;0;Россия;
Моршанск;Morshansk;Моршанск;365;Тамбовская Область;0;Россия;
Бологое;Bologoe;Бологое;59;Тверская Область;0;Россия;
Тверь;Tver;Тверь;580;Тверская Область;0;Россия;
Удомля;Udomlya;Удомля;599;Тверская Область;0;Россия;
Ефремов;Efremov;Ефремов;170;Тульская Область;0;Россия;
Тула;Tula;Тула;594;Тульская Область;0;Россия;
Тюмень;Tyumen;Тюмень;596;Тюменская Область;0;Россия;
Ижевск;Izhevsk;Ижевск;197;Удмуртская Республика;0;Россия;
Димитровград;Dimitrovgrad;Димитровград;150;Ульяновская Область;0;Россия;
Ульяновск;Ulyanovsk;Ульяновск;602;Ульяновская Область;0;Россия;
Когалым;Kogalym;Когалым;250;Ханты-Мансийский АО - Югра Автономный округ;0;Россия;
Сургут;Surgut;Сургут;569;Ханты-Мансийский АО - Югра Автономный округ;0;Россия;
Троицк;Troitsk;Троицк;591;Челябинская Область;0;Россия;
Челябинск;Chelyabinsk;Челябинск;649;Челябинская Область;0;Россия;
Данилов;Danilov;Данилов;141;Ярославская Область;0;Россия;
Переславль-залесский;Pereslavl-zalesskiy;Переславль-залесский;451;Ярославская Область;0;Россия;
Рыбинск квмр.ру;Rybinsk;Рыбинск;508;Ярославская Область;0;Россия;
Углич;Uglich;Углич;597;Ярославская Область;0;Россия;
Ярославль г. - российская федерация, ярославская область;Yaroslavl;Ярославль;695;Ярославская Область;0;Россия;
Tampere;Tampere;Тампере;575;;0;Финляндия;
Vilnius;Vilnyus;Вильнюс;88;;0;Латвия;
Александровка;Aleksandrovka;Александровка;19;Саратовская Область;0;Россия;
Белый ручей;Belyy ruchey;Белый ручей;49;Вологодская Область;0;Россия;Вытегорский
Верхний волочёк;Verkhniy volochyok;Верхний волочёк;82;Тверская Область;0;Россия;
Верховажье-санкт-петербург;Verkhovazhe;Верховажье;85;Вологодская Область;0;Россия;Верховажский
Витебск;Vitebsk;Витебск;89;Витебская;0;Беларусь;
Власиха;Vlasikha;Власиха;91;Московская Область;0;Россия;
Вохтога;Vokhtoga;Вохтога;111;Вологодская Область;0;Россия;Междуреченский
Вышний волочёк;Vyshniy volochyok;Вышний волочёк;124;Тверская Область;0;Россия;
г.Курск с.Тазово;Tazovo;Тазово;573;Курская Область;99;Россия;
Гомель;Gomel;Гомель;134;Гомельская область;0;Беларусь;
Гомель беларусь;Gomel belarus;Гомель беларусь;135;Гомельская область;0;Беларусь;
Д. основинская;Oosnovinskaya;Основинская;431;Свердловская Область;0;Россия;
Д. плосково;Ploskovo;Плосково;467;Вологодская Область;0;Россия;Череповецкий
д.Микицыно;Mikitsyno;Микицыно;350;Вологодская Область;99;Россия;Вологодский
Д.сметанино;Smetanino;Сметанино;543;Вологодская Область;0;Россия;Верховажский
Деревня сметанино;Smetanino;Сметанино;543;Вологодская Область;0;Россия;Верховажский
Дмитров;Dmitrov;Дмитров;152;Московская Область;0;Россия;
Железнодоорожный;Zheleznodorozhnyy;Железнодорожный;172;Московская Область;0;Россия;
Железнодорожный;Zheleznodorozhnyy;Железнодорожный;172;Московская Область;0;Россия;
Запрудня;Zaprudnya;Запрудня;181;Московская Область;0;Россия;
Зеленоград;Zelenograd;Зеленоград;188;Московская Область;0;Россия;
Истра;Istra;Истра;209;Московская Область;0;Россия;
Кировская область;Kirovskaya oblast;Кировская область;240;Кировская Область;0;Россия;
Кичменгский городок;Kichmengskiy gorodok;Кичменгский городок;242;Вологодская Область;0;Россия;Кичменгско-Городецкий
Клин;Klin;Клин;244;Московская Область;0;Россия;
Королев;Korolev;Королев;268;Московская Область;0;Россия;
Липин бор;Lipin bor;Липин бор;324;Вологодская Область;0;Россия;Вашкинский
М;M;М;333;Вологодская Область;0;Россия;0
Минск;Minsk;Минск;352;Минская область;0;Россия;
Мск;Moskva;Москва;366;Москва;0;Россия;
Мурманская область, мурмаши;Murmashi;Мурмаши;370;Мурманская Область;0;Россия;
Мурмаши;Murmashi;Мурмаши;370;Мурманская Область;0;Россия;
Одинцово;Odintsovo;Одинцово;422;Московская Область;0;Россия;
Орел;Orel;Орел;432;Орловская Область;0;Россия;
П. вожега;Vozhega;Вожега;94;Вологодская Область;0;Россия;Вожегодский
П. шексна;Sheksna;Шексна;667;Вологодская Область;0;Россия;Шекснинский
П.тоншалово;Tonshalovo;Тоншалово;587;Вологодская Область;0;Россия;Череповецкий
П.федотово;Fedotovo;Федотово;623;Вологодская Область;0;Россия;Вологодский
Пгт. явас;pgt. yavas;пгт. Явас;444;Мордовия Республика;0;Россия;
Петербург;Sankt-Peterburg;Санкт-Петербург;515;Ленинградская Область;0;Россия;
Пос. космынино;Kosmynino;Космынино;272;Костромская Область;0;Россия;
Пос. шексна;Sheksna;Шексна;667;Вологодская Область;0;Россия;Шекснинский
Пос.юбилейный;Yubileynyy;Юбилейный;682;Вологодская Область;0;Россия;Тотемский
Пушкин;Pushkin;Пушкин;488;Ленинградская Область;0;Россия;
Р. п. коноша;Konosha;Коноша;266;Архангельская Область;0;Россия;
С. покровское;Pokrovskoe;Покровское;473;Вологодская Область;0;Россия;Вологодский
С.усть-алексеево;Ust-alekseevo;Усть-алексеево;611;Вологодская Область;0;Россия;Великоустюгский
Савинский;Savinskiy;Савинский;511;Вологодская Область;0;Россия;Харовский
Санкт петербург;Sankt- peterburg;Санкт- петербург;514;Ленинградская Область;0;Россия;
Санкт- петербург;Sankt- peterburg;Санкт- петербург;514;Ленинградская Область;0;Россия;
Санкт-петербург (dim-team);Sankt- peterburg;Санкт- петербург;514;Ленинградская Область;0;Россия;
Санкт-петербургу;Sankt- peterburg;Санкт- петербург;514;Ленинградская Область;0;Россия;
Санкт-петерубрг;Sankt- peterburg;Санкт- петербург;514;Ленинградская Область;0;Россия;
Сергиев посад;Sergiev Posad;Сергиев Посад;530;Московская Область;0;Россия;
Сергиев_посад;Sergiev Posad;Сергиев Посад;530;Московская Область;0;Россия;
Ск сивер молочное;Molochnoe;Молочное;361;Вологодская Область;0;Россия;Вологодский
Софрино;Sofrino;Софрино;558;Московская Область;0;Россия;
Спб;Sankt-Peterburg;Санкт-Петербург;515;Ленинградская Область;0;Россия;
С-пб/100%спорта;Sankt-Peterburg;Санкт-Петербург;515;Ленинградская Область;0;Россия;
Тарнога;Tarnogskiy gorodok;Тарногский городок;577;Вологодская Область;0;Россия;Тарногский
Токсово;Toksovo;Токсово;584;Ленинградская Область;0;Россия;
Тотемский район, поселок юбилейный;Yubileynyy;Юбилейный;682;Вологодская Область;0;Россия;Тотемский
Уткино;Utkino;Уткино;618;Вологодская Область;0;Россия;Вологодский
Хлынов;Khlynov;Хлынов;637;Кировская Область;0;Россия;
Чебсара;Chebsara;Чебсара;647;Вологодская Область;0;Россия;Шекснинский
Шангалы;Shangaly;Шангалы;662;Архангельская Область;0;Россия;
Швеция;Shvetsiya;Швеция;665;;0;Россия;
Шекснинский р.;Sheksninskiy rayon;Шекснинский район;668;Вологодская Область;0;Россия;Шекснинский
Шекснинский р-н;Sheksninskiy rayon;Шекснинский район;668;Вологодская Область;0;Россия;Шекснинский
Щелково;Schelkovo;Щелково;678;Московская Область;0;Россия;
Щёлково;Schelkovo;Щелково;678;Московская Область;0;Россия;
Юкки;Yukki;Юкки;685;;0;Финляндия;
35;Vologda;Вологда;98;Вологодская Область;#Н/Д;Россия;
Arkhangelsk;Arkhangelsk;Архангельск;31;Архангельская Область;30;Россия;
Cherepovest;Cherepovets;Череповец;650;Вологодская Область;0;Россия;Череповецкий
Cherepovets;Cherepovets;Череповец;650;Вологодская Область;36;Россия;Череповецкий
Cосногорск;Sosnogorsk;Сосногорск;557;Республика Коми;116;Россия;
Dernsk;Dernsk;Дернск;147;Республика Коми;116;Россия;
Ekaterinburg;Ekaterinburg;Екатеринбург;164;Свердловская Область;0;Россия;
Kostroma - yaroslavl;Kostroma;Кострома;275;Костромская Область;0;Россия;
Moscow;Moskva;Москва;366;Москва;0;Россия;
Ottendorf;Ottendorf;Ottendorf;13;Saxony;88;Германия;
Sofrino-1;Sofrino;Софрино;558;Московская Область;0;Россия;
Абакан;Abakan;Абакан;14;Хакасия Республика;20;Россия;
Автозаводский район;Nizhniy Novgorod;Нижний Новгород;397;Нижегородская Область;53;Россия;
Азов;Azov;Азов;15;Ростовская Область;62;Россия;
Аксеново;Aksenovo;Аксеново;16;Вологодская Область;36;Россия;Вологодский
Алабино;Alabino;Алабино;17;Московская Область;51;Россия;
Анадырь;Anadyr;Анадырь;22;Чукотский Автономный округ;83;Россия;
Анненский Мост;Annenskiy Most;Анненский Мост;25;Вологодская Область;36;Россия;Вытегорский
Апатиты;Appatity;Аппатиты;26;Мурманская Область;52;Россия;
Аппатиты;Appatity;Аппатиты;26;Мурманская Область;52;Россия;
Апрелевка;Aprelevka;Апрелевка;27;Московская Область;51;Россия;
Архангельск;Arkhangelsk;Архангельск;31;Архангельская Область;30;Россия;
Архангельск г;Arkhangelsk;Архангельск;31;Архангельская Область;30;Россия;
Архангельск, Архангельская обл, Россия;Arkhangelsk;Архангельск;31;Архангельская Область;30;Россия;
Архангельская область, Онежский район, г. Онега, ул. Первомайская, д. 40;Onega;Онега;430;Архангельская Область;30;Россия;
Б. Игнатово;Ignatovo;Игнатово;195;Мордовия Республика;14;Россия;
Бабаево;Babaevo;Бабаево;32;Вологодская Область;36;Россия;Бабаевский
Бабаево г;Babaevo;Бабаево;32;Вологодская Область;36;Россия;Бабаевский
Баймак;Baymak;Баймак;33;Башкортостан Республика;3;Россия;
Балакирево;Balakirevo;Балакирево;34;Владимирская Область;34;Россия;
Балахна;Balakhna;Балахна;35;Нижегородская Область;53;Россия;
Балашиха;Balashikha;Балашиха;36;Московская Область;51;Россия;
Барвиха;Barvikha;Барвиха;37;Московская Область;51;Россия;
Барыш;Barysh;Барыш;38;Ульяновская Область;74;Россия;
Бегуницы;Begunitsy;Бегуницы;39;Ленинградская Область;48;Россия;
Белая Холуница;Belaya Kholunitsa;Белая Холуница;40;Кировская Область;44;Россия;
Белгород;Belgorod;Белгород;41;Белгородская Область;32;Россия;
Белград;Belgrad;Белград;42;Белград;109;Сербия;
Белоево;Beloevo;Белоево;43;Пермский Край;60;Россия;
Белозерский район, д. Зорино;Zorino;Зорино;190;Вологодская Область;36;Россия;Белозерский
Беломорск;Belomorsk;Беломорск;45;Карелия Республика;11;Россия;
Белоомут;Beloomut;Белоомут;46;Московская Область;51;Россия;
Белореченск;Belorechensk;Белореченск;47;Краснодарский Край;24;Россия;
Бердск;Berdsk;Бердск;50;Новосибирская Область;55;Россия;
Бережное;Berezhnoe;Бережное;51;Вологодская Область;36;Россия;Усть-Кубенский
Березники;Berezniki;Березники;52;Пермский Край;60;Россия;
Березовский;Berezovskiy;Березовский;53;Свердловская Область;67;Россия;
Берёзовский;Beryozovskiy;Берёзовский;54;Кемеровская Область;43;Россия;
Бирюлево;Biryulevo;Бирюлево;55;г. Москва;122;Россия;
Боброво;Bobrovo;Боброво;57;Московская Область;51;Россия;
Богородск;Bogorodsk;Богородск;58;Нижегородская Область;53;Россия;
Болохово;Bolokhovo;Болохово;60;Тульская Область;72;Россия;
Большое Ефимово;Bolshoe Efimovo;Большое Ефимово;61;Вологодская Область;36;Россия;Верховажский
Большое Игнатово;Bolshoe Ignatovo;Большое Игнатово;62;Мордовия Республика;14;Россия;
Бор;Bor;Бор;64;Нижегородская Область;53;Россия;
Борисово;Borisovo;Борисово;65;г. Москва;122;Россия;
Борисово-Судское;Borisovo-Sudskoe;Борисово-Судское;66;Вологодская Область;36;Россия;Бабаевский
Боровичи;Borovichi;Боровичи;67;Новгородская Область;54;Россия;
Бронницы;Bronnitsy;Бронницы;68;Московская Область;51;Россия;
Брянск, рп Белые Берега;Bryansk, rp Belye Berega;Брянск, рп Белые Берега;70;Брянская Область;33;Россия;
Бужарово Истра;Buzharovo Istra;Бужарово Истра;71;Московская Область;51;Россия;
Буй;Buy;Буй;72;Костромская Область;45;Россия;
Быково;Bykovo;Быково;73;Московская Область;51;Россия;
В;V;В;74;Вологодская Область;36;Россия;Вологодский
Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Ве;Velsk;Вельск;79;Архангельская Область;30;Россия;
Великий Новгород;Velikiy Novgorod;Великий Новгород;77;Новгородская Область;54;Россия;
Великий Новгоррд;Velikiy Novgorod;Великий Новгород;77;Новгородская Область;54;Россия;
Великий устюг;Velikiy Ustyug;Великий Устюг;78;Вологодская Область;36;Россия;Великоустюгский
Вельский район дер. Юхнёво;Velskiy rayon der. Yukhnyovo;Вельский район дер. Юхнёво;80;Архангельская Область;30;Россия;
Вельский район, деревня Филяевская;Velskiy rayon, derevnya Filyaevskaya;Вельский район, деревня Филяевская;81;Архангельская Область;30;Россия;
Верхняя Пышма;Verkhnyaya Pyshma;Верхняя Пышма;83;Свердловская Область;67;Россия;
Верховажский округ, с. Морозово;Verkhovazhskiy okrug, s. Morozovo;Верховажский округ, с. Морозово;84;Вологодская Область;36;Россия;Верховажский
Верховажский р-н;Verkhovazhe;Верховажье;85;Вологодская Область;36;Россия;Верховажский
Верховажский р-он,  с. Чушевицы;Chushevitsy;Чушевицы;661;Вологодская Область;36;Россия;Верховажский
Верховажье;Verkhovazhe;Верховажье;85;Вологодская Область;36;Россия;Верховажский
Верхошижемье;Verkhoshizheme;Верхошижемье;86;Кировская Область;44;Россия;
Видное;Vidnoe;Видное;87;Московская Область;51;Россия;
Владимир;Vladimir;Владимир;90;Владимирская Область;34;Россия;
Внуково;Vnukovo;Внуково;92;г. Москва;122;Россия;
Вогогда;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Водный;Vodnyy;Водный;93;Республика Коми;116;Россия;
Вожега;Vozhega;Вожега;94;Вологодская Область;36;Россия;Вожегодский
Вожегодский район;Vozhega;Вожега;94;Вологодская Область;36;Россия;Вожегодский
Волгоград;Volgograd;Волгоград;95;Волгоградская Область;35;Россия;
Волжск;Volzhsk;Волжск;97;Республика Марий Эл;119;Россия;
Вологда;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда (Вологодская) (Северо-Западный);Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда / АгВ;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
"Вологда / движение ""о""";Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда | Бежим вместе;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда | Стеклокомпозит35;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда 1;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда Вологодская обл., Россия;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда г;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда г (Вологодская обл.);Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда Легион;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда п молочное;Molochnoe;Молочное;361;Вологодская Область;36;Россия;Вологодский
Вологда, Вологодская область;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда, вологодская область, россия;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда, Вологодская область, Северо-Запад, Россия;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда, Вологодской области;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда, п. Кувшиного;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда, п. Майский;Mayskiy;Майский;334;Вологодская Область;36;Россия;Вологодский
Вологда, с.Молочное;Molochnoe;Молочное;361;Вологодская Область;36;Россия;Вологодский
Вологда/ мамаможет;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда/Тарнога;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда/Тарногский Городок;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда-20;Vologda-20;Вологда-20;99;Вологодская Область;36;Россия;Шекснинский
Вологда-Витязь;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологда-Олимп;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологдский округ, село Неверовское;Neverovskoe;Неверовское;385;Вологодская Область;36;Россия;Вологодский
Вологода;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологодская гмха;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологодская обл, Вологодский округ, поселок Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодская обл, Вологодский округ, поселок Ермаково;Ermakovo;Ермаково;167;Вологодская Область;36;Россия;Вологодский
Вологодская обл, Вологодский р-н, поселок Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодская обл, г. Череповец;Cherepovets;Череповец;650;Вологодская Область;36;Россия;Череповецкий
Вологодская обл, рп. кадуй;Kaduy;Кадуй;213;Вологодская Область;36;Россия;Кадуйский
Вологодская обл, Череповец г;Cherepovets;Череповец;650;Вологодская Область;36;Россия;Череповецкий
Вологодская обл,вытегорский р-он,пдепо.;Depo;Депо;146;Вологодская Область;36;Россия;Вытегорский
Вологодская обл., Кирилловский р-н., г. Кириллов;Kirillov;Кириллов;235;Вологодская Область;36;Россия;Кирилловский
Вологодская область, верховажский район, д. наумиха;Naumikha;Наумиха;380;Вологодская Область;36;Россия;Верховажский
Вологодская область,п.можайское;Mozhayskoe;Можайское;358;Вологодская Область;36;Россия;Вологодский
Вологодская область.череповец;Cherepovets;Череповец;650;Вологодская Область;36;Россия;Череповецкий
Вологодский  округ, п.Майский;Mayskiy;Майский;334;Вологодская Область;36;Россия;Вологодский
Вологодский округ;Vologda;Вологда;98;Вологодская Область;36;Россия;Вологодский
Вологодский округ  п. Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодский округ поселок Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодский округ Сосновское с/ п дер.Новое;Novoe;Новое;407;Вологодская Область;36;Россия;Вологодский
Вологодский округ, поселок Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодский район;Vologodskiy rayon;Вологодский район;100;Вологодская Область;36;Россия;Вологодский
Вологодский район д. Жилино;Zhilino;Жилино;175;Вологодская Область;36;Россия;Вологодский
Вологодский район д. Починок;Pochinok;Починок;477;Вологодская Область;36;Россия;Шекснинский
Вологодский район д. Родионцево;Rodiontsevo;Родионцево;496;Вологодская Область;36;Россия;Вологодский
Вологодский район п. Васильевское;Vasilevskoe;Васильевское;76;Вологодская Область;36;Россия;Вологодский
Вологодский район п. Можайское;Mozhayskoe;Можайское;358;Вологодская Область;36;Россия;Вологодский
